"file","rule_id","standard","category","p21_id","core_id","cg_ids","fda_ids","source_doc","has_p21","has_core","has_cg"
"HRL-AD-0001.yaml","HRL-AD-0001","ADaM","Presence","AD0001","","CG0101","FDA-AD-001","ADaM-IG v1.3 Section 3.1",TRUE,FALSE,TRUE
"HRL-AD-0002.yaml","HRL-AD-0002","ADaM","Presence","AD0002","","CG0102","FDA-AD-002","ADaM-IG v1.3 Section 3.1",TRUE,FALSE,TRUE
"HRL-AD-0003.yaml","HRL-AD-0003","ADaM","Consistency","AD0003","","CG0103","FDA-AD-003","ADaM-IG v1.3 Section 3.1",TRUE,FALSE,TRUE
"HRL-AD-0004.yaml","HRL-AD-0004","ADaM","Presence","AD0004","","CG0104","FDA-AD-004","ADaM-IG v1.3 Section 3.1",TRUE,FALSE,TRUE
"HRL-AD-0005.yaml","HRL-AD-0005","ADaM","Presence","AD0005","","CG0105","FDA-AD-005","ADaM-IG v1.3 Section 3.1.2",TRUE,FALSE,TRUE
"HRL-AD-0006.yaml","HRL-AD-0006","ADaM","Presence","AD0006","","CG0106","FDA-AD-006","ADaM-IG v1.3 Section 3.1.2",TRUE,FALSE,TRUE
"HRL-AD-0007.yaml","HRL-AD-0007","ADaM","Terminology","AD0007","","CG0107","FDA-AD-007","ADaM-IG v1.3 Section 3.1.3",TRUE,FALSE,TRUE
"HRL-AD-0008.yaml","HRL-AD-0008","ADaM","Terminology","AD0008","","CG0108","FDA-AD-008","ADaM-IG v1.3 Section 3.1.3",TRUE,FALSE,TRUE
"HRL-AD-0009.yaml","HRL-AD-0009","ADaM","Format","AD0009","","CG0109","FDA-AD-009","ADaM-IG v1.3 Section 3.1.2",TRUE,FALSE,TRUE
"HRL-AD-0010.yaml","HRL-AD-0010","ADaM","Presence","AD0010","","CG0110","FDA-AD-010","ADaM-IG v1.3 Section 3.2",TRUE,FALSE,TRUE
"HRL-AD-0011.yaml","HRL-AD-0011","ADaM","Consistency","AD0011","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0012.yaml","HRL-AD-0012","ADaM","Consistency","AD0012","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0013.yaml","HRL-AD-0013","ADaM","Format","AD0013","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0014.yaml","HRL-AD-0014","ADaM","Format","AD0016","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0015.yaml","HRL-AD-0015","ADaM","Metadata","AD0018","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0016.yaml","HRL-AD-0016","ADaM","Presence","AD0019","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0017.yaml","HRL-AD-0017","ADaM","Presence","AD0026","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0018.yaml","HRL-AD-0018","ADaM","Terminology","AD0033","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0019.yaml","HRL-AD-0019","ADaM","Terminology","AD0034","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0020.yaml","HRL-AD-0020","ADaM","Terminology","AD0035","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0021.yaml","HRL-AD-0021","ADaM","Terminology","AD0036","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
