"rule_id","source","source_document","source_url","authority","standard","ig_versions","rule_type","publisher_id","conformance_rule_origin","cited_guidance","message","description","domains","classes","severity","sensitivity","executability","status","notes"
"CORE-000001","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0176; TIG0405","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules","SDTM v3.4 §6.3.4; IG v3.2 §6.3; IG v3.3 §6.3.4; TIG 1.0 §2.8.10.13","IEORRES is not equal to 'N' when IECAT equals 'INCLUSION'.","Raise an error when IECAT is equal to 'INCLUSION' and IEORRES is not equal to 'N'.","IE","FINDINGS","","Record","Fully Executable","Published",""
"CORE-000002","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0208","SDTM and SDTMIG Conformance Rules","SDTM v1.4 §5.3; IG v3.2 §5 SE; IG v3.3 §5.3","SESTDTC is required.","Raise an error when SESTDTC is null.","SE","SPECIAL PURPOSE","","Record","Fully Executable","Published",""
"CORE-000003","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0299","SDTM and SDTMIG Conformance Rules","SDTM v3.4 §6.3.12.2; IG v3.2 §6.3; IG v3.3 §6.3.16.2","TRLOC is present when TRLOC is not included in the TR domain.","Raise an error when TRLOC is present.","TR","FINDINGS","","Dataset","Fully Executable","Published",""
"CORE-000004","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0101; TIG0366","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules","IG v3.4 §6.1.3.2; IG v3.2 §IG v3.2[6.1]; IG v3.3 §IG v3.3[6.1.3.2]; TIG 1.0 §2.8.10.11","ECOCCUR indicates dose was not given, but ECDOSE is not blank or has a value less than or equal to 0","When ECOCCUR indicates no dose, then ECDOSE needs to be null or > 0; it cannot be used to indicate a dose wasn't taken.","EC","INTERVENTIONS","","Record","Fully Executable","Published",""
"CORE-000005","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0102","SDTM and SDTMIG Conformance Rules","SDTMIG v3.4 §6.1.3.1; IG v3.2 §6.1; IG v3.3 §6.1.3.1","EXTRT is PLACEBO, but EXDOSE is not equal to 0.","When EXTRT is PLACEBO, EXDOSE must equal 0","EX","INTERVENTIONS","","Record","Fully Executable","Published",""
"CORE-000006","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0131; TIG0381","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules","Model v2.0 §Demographics; Model v1.4 §2.2.6; Model v1.7 §Table 2.2.6; SDTM v2.1 §Section 3.2.1 Demographics","DTHFL is not ""Y"" or null","Raise an error when DTHFL ^= ""Y"" and not null","DM","SPECIAL PURPOSE","","Record","Fully Executable","Published",""
"CORE-000007","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0435; TIG0587; FB0606","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules; FDA Business Rules","Model v2.0 §Demographics; Model v1.4 §2.2.6; Model v1.7 §Table 2.2.6.1; SDTM v2.1 §3.2.1 Demographics; FDA §FDAB006","DTHDTC is populated but DTHFL in DM dataset is not ""Y"".","When Date/Time of Death (DTHDTC) in the DM dataset is populated then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the corresponding subject.","DM","SPECIAL PURPOSE","","Record","Fully Executable","Published",""
"CORE-000008","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0132; FB0601","SDTM and SDTMIG Conformance Rules; FDA Business Rules","IG v3.2 §6.3; IG v3.3 §6.3.15; IG v3.4 §4.5.8|6.3.11; FDA §FDAB006","SSTRESC in SS dataset is ""DEAD"", but DTHFL in DM dataset is not ""Y"".","When survival status is completed as 'DEAD' in the SS dataset then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the corresponding subject.","DM","SPECIAL PURPOSE","","Record","Fully Executable","Published",""
"","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","","","CG0152; SEND124.1; TIG0393","SDTM and SDTMIG Conformance Rules; SEND Conformance Rules; TIG Conformance Rules","SDTMIG v3.4 §5.3 Specification; IG v3.2 §5; IG v3.3 §5.3; SENDIG v3.0 §5.3.1; SENDIG v3.1 §5.3.1.1; SENDIG v3.1.1 §5.3.1.1; TIG 1.0 §2.8.10.24","","","","","","","","",""
"CORE-000010","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0153; TIG0394","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules","SDTMIG v3.4 §4.2.1; IG v3.2 §4.1.2.1; IG v3.3 §4.2.1; TIG 1.0 §2.8.10.27","ARMCD value length is greater than 20","Verify ARMCD value length is <= 20","DM, TA","SPECIAL PURPOSE, TRIAL DESIGN","","Record","Fully Executable","Published",""
"","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","","","","","","","","","","","","","",""
"CORE-000012","CDISC Library API","CDISC Conformance Rules (SDTMIG/ADaMIG)","https://library.cdisc.org/api/mdr/rules","CDISC","SDTM","SDTMIG 3.2; SDTMIG 3.3","Record Data","CG0040; TIG0319","SDTM and SDTMIG Conformance Rules; TIG Conformance Rules","SDTMIG v3.4 §6.2.1; SDTMIG v3.3 §6.2.1; SDTMIG v3.2 §6.2.; TIG 1.0 §2.8.10.1","AEOCCUR is present in AE dataset.","Raise an error when AEOCCUR exists in AE dataset.","AE","EVENTS","","Dataset","Fully Executable","Published",""
